,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
195,QCOM,61.66,71.27,-9.61,16165.55,11917.07,261,27,10.3,37.87
196,MTB,61.22,50.39,10.83,16122.09,5211.36,261,18,6.9,35.45
197,EVRG,60.91,60.14,0.76,16090.68,796.28,261,7,2.7,29.68
198,BKNG,60.46,71.25,-10.8,16045.69,7597.85,261,28,10.7,39.24
199,MRK,60.23,73.32,-13.09,16023.31,2710.35,261,14,5.4,41.86
200,NFLX,60.08,78.7,-18.63,16007.51,11693.98,261,37,14.2,68.68
201,NEM,59.87,72.85,-12.97,15987.29,8352.95,261,37,14.2,60.55
202,EIX,59.76,50.26,9.5,15975.91,3361.79,261,13,5.0,42.08
203,DGX,58.87,59.26,-0.39,15887.05,1781.34,261,11,4.2,27.25
204,TXN,58.51,86.99,-28.48,15851.01,5587.28,261,27,10.3,32.94
205,REG,58.06,50.54,7.52,15806.28,1911.6,261,10,3.8,28.46
206,MSFT,57.8,78.66,-20.86,15780.02,3977.6,261,16,6.1,34.28
207,RF,56.81,46.64,10.17,15680.91,5606.97,261,21,8.0,33.32
208,DE,56.6,69.71,-13.1,15660.31,5014.88,261,24,9.2,30.05
209,AJG,56.25,48.85,7.41,15625.08,2932.93,261,10,3.8,42.52
210,JNJ,55.69,54.1,1.59,15569.3,460.5,261,4,1.5,19.71
211,NOC,55.42,60.3,-4.88,15542.15,3954.11,261,13,5.0,28.53
212,CFG,55.2,54.92,0.28,15520.25,5952.3,261,25,9.6,47.12
213,TSLA,55.16,109.61,-54.45,15515.94,31545.89,261,55,21.1,72.97
214,TDY,55.01,51.96,3.05,15500.76,2595.83,261,14,5.4,29.46
215,TEL,54.93,61.61,-6.68,15493.4,4525.01,261,17,6.5,32.35
216,DRI,54.36,61.73,-7.37,15436.43,4112.13,261,21,8.0,29.9
217,FICO,53.89,135.78,-81.89,15389.36,14629.89,261,38,14.6,61.62
218,MA,53.84,41.61,12.22,15383.65,2673.56,261,9,3.4,24.13
219,EMR,52.99,56.44,-3.45,15299.46,3976.57,261,14,5.4,30.36
220,EQIX,52.37,60.22,-7.85,15237.5,3801.44,261,18,6.9,41.11
221,NXPI,52.26,59.75,-7.49,15225.82,11854.83,261,38,14.6,39.04
222,LHX,51.53,59.13,-7.6,15152.92,2486.2,261,12,4.6,38.71
223,DOV,51.24,51.59,-0.35,15124.15,2579.04,261,13,5.0,34.17
224,EG,51.03,45.95,5.08,15103.3,3660.93,261,13,5.0,22.1
